service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
85.0.1,1,1,1,1,1,0,0,20260104,20260704
85.0.2,0,0,0,0,0,1,0,20260104,20260704
85.0.3,0,0,0,0,0,0,1,20260104,20260704
85.1.1,0,0,0,0,0,0,0,20260104,20260704
85.10.1,0,0,0,0,0,0,0,20260104,20260704
85.2.1,0,0,0,0,0,0,0,20260104,20260704
85.3.1,0,0,0,0,0,0,0,20260104,20260704
85.4.1,0,0,0,0,0,0,0,20260104,20260704
85.71.3,0,0,0,0,0,0,0,20260104,20260704
85.9.1,0,0,0,0,0,0,0,20260104,20260704
85.91.1,0,0,0,0,0,0,0,20260104,20260704
85.127.3,0,0,0,0,0,0,0,20260104,20260704
85.56.2,0,0,0,0,0,0,0,20260104,20260704
85.58.2,0,0,0,0,0,0,0,20260104,20260704
85.64.2,0,0,0,0,0,0,0,20260104,20260704
